 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 16
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.510280E+09   0.225894E+05   0.359521E+04
    2   0.510935E+09   0.226039E+05   0.359752E+04
    3   0.183397E+11   0.135424E+06   0.215534E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      2117  0.2872E-02 -0.2042E-02  0.6162E-01
      2118  0.2891E-02 -0.2232E-02  0.6740E-01
      2119  0.2902E-02 -0.2424E-02  0.7321E-01
      2120  0.2907E-02 -0.2615E-02  0.7903E-01
      2121  0.2908E-02 -0.2806E-02  0.8485E-01
      2151  0.9481E-04 -0.1684E-04 -0.3345E-04
      2152  0.3456E-03 -0.5710E-04  0.3835E-03
      2153  0.6906E-03 -0.9172E-04  0.1445E-02
      2154  0.1008E-02 -0.1464E-03  0.3153E-02
      2155  0.1303E-02 -0.2218E-03  0.5455E-02
      2156  0.1569E-02 -0.3113E-03  0.8292E-02
      2157  0.1811E-02 -0.4203E-03  0.1163E-01
      2158  0.2025E-02 -0.5407E-03  0.1539E-01
      2159  0.2217E-02 -0.6770E-03  0.1956E-01
      2160  0.2382E-02 -0.8218E-03  0.2406E-01
      2161  0.2526E-02 -0.9792E-03  0.2887E-01
      2162  0.2646E-02 -0.1142E-02  0.3393E-01
      2163  0.2746E-02 -0.1315E-02  0.3920E-01
      2164  0.2826E-02 -0.1491E-02  0.4463E-01
      2165  0.2888E-02 -0.1674E-02  0.5020E-01
      2166  0.2934E-02 -0.1858E-02  0.5587E-01
      2167  0.2966E-02 -0.2046E-02  0.6162E-01
      2168  0.2986E-02 -0.2234E-02  0.6740E-01
      2169  0.2997E-02 -0.2425E-02  0.7321E-01
      2170  0.3002E-02 -0.2615E-02  0.7903E-01
      2171  0.3004E-02 -0.2806E-02  0.8485E-01
      2201  0.0000E+00  0.0000E+00  0.0000E+00
      2202  0.3396E-03 -0.1081E-03  0.3398E-03
      2203  0.7113E-03 -0.1460E-03  0.1376E-02
      2204  0.1041E-02 -0.1915E-03  0.3095E-02
      2205  0.1343E-02 -0.2652E-03  0.5401E-02
      2206  0.1619E-02 -0.3486E-03  0.8242E-02
      2207  0.1866E-02 -0.4559E-03  0.1158E-01
      2208  0.2089E-02 -0.5702E-03  0.1536E-01
      2209  0.2285E-02 -0.7050E-03  0.1953E-01
      2210  0.2458E-02 -0.8440E-03  0.2404E-01
      2211  0.2604E-02 -0.1000E-02  0.2885E-01
      2212  0.2730E-02 -0.1158E-02  0.3391E-01
      2213  0.2832E-02 -0.1329E-02  0.3918E-01
      2214  0.2915E-02 -0.1501E-02  0.4462E-01
      2215  0.2978E-02 -0.1682E-02  0.5020E-01
      2216  0.3027E-02 -0.1863E-02  0.5587E-01
      2217  0.3059E-02 -0.2050E-02  0.6161E-01
      2218  0.3081E-02 -0.2236E-02  0.6740E-01
      2219  0.3092E-02 -0.2426E-02  0.7322E-01
      2220  0.3098E-02 -0.2615E-02  0.7904E-01
      2221  0.3099E-02 -0.2806E-02  0.8486E-01
      3001  0.0000E+00  0.0000E+00  0.0000E+00
      3002  0.7029E-05 -0.1755E-04  0.2952E-03
      3003 -0.4817E-04 -0.5900E-04  0.1338E-02
      3004 -0.6870E-04 -0.1124E-03  0.3049E-02
