 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 19
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.513275E+09   0.226556E+05   0.360575E+04
    2   0.513275E+09   0.226556E+05   0.360575E+04
    3   0.181452E+11   0.134704E+06   0.214388E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      3101  0.0000E+00  0.0000E+00  0.0000E+00
      3102 -0.8553E-14  0.4429E-03 -0.6010E-04
      3103  0.3681E-13  0.1754E-02 -0.2380E-03
      3104  0.2632E-13  0.3870E-02 -0.5251E-03
      3105  0.4548E-13  0.6742E-02 -0.9149E-03
      3106  0.4977E-13  0.1030E-01 -0.1397E-02
      3107  0.6517E-13  0.1447E-01 -0.1964E-02
      3108  0.6738E-13  0.1920E-01 -0.2606E-02
      3109  0.6413E-13  0.2443E-01 -0.3316E-02
      3110  0.6757E-13  0.3010E-01 -0.4084E-02
      3111  0.5720E-13  0.3614E-01 -0.4904E-02
      3112  0.5648E-13  0.4250E-01 -0.5767E-02
      3113  0.5076E-13  0.4913E-01 -0.6667E-02
      3114  0.5220E-13  0.5597E-01 -0.7595E-02
      3115  0.4166E-13  0.6299E-01 -0.8547E-02
      3116  0.3511E-13  0.7012E-01 -0.9516E-02
      3117  0.3718E-13  0.7736E-01 -0.1050E-01
      3118  0.5939E-13  0.8464E-01 -0.1149E-01
      3119  0.4132E-13  0.9196E-01 -0.1248E-01
      3120  0.4796E-13  0.9929E-01 -0.1347E-01
      3121  0.4442E-13  0.1066E+00 -0.1447E-01
      3151  0.0000E+00  0.0000E+00  0.0000E+00
      3153 -0.8278E-03  0.1768E-02 -0.2354E-03
      3155 -0.1577E-02  0.6770E-02 -0.9112E-03
      3157 -0.2198E-02  0.1449E-01 -0.1961E-02
      3159 -0.2696E-02  0.2445E-01 -0.3313E-02
      3161 -0.3075E-02  0.3615E-01 -0.4903E-02
      3163 -0.3346E-02  0.4914E-01 -0.6666E-02
      3165 -0.3520E-02  0.6299E-01 -0.8547E-02
      3167 -0.3616E-02  0.7736E-01 -0.1050E-01
      3169 -0.3656E-02  0.9196E-01 -0.1248E-01
      3171 -0.3664E-02  0.1066E+00 -0.1447E-01
      3201  0.0000E+00  0.0000E+00  0.0000E+00
      3202 -0.7980E-03  0.5852E-03 -0.4480E-04
      3203 -0.1680E-02  0.1865E-02 -0.2225E-03
      3204 -0.2453E-02  0.3984E-02 -0.5099E-03
      3205 -0.3171E-02  0.6843E-02 -0.9011E-03
      3206 -0.3821E-02  0.1039E-01 -0.1385E-02
      3207 -0.4412E-02  0.1456E-01 -0.1953E-02
      3208 -0.4939E-02  0.1928E-01 -0.2596E-02
      3209 -0.5407E-02  0.2450E-01 -0.3307E-02
      3210 -0.5813E-02  0.3015E-01 -0.4077E-02
      3211 -0.6165E-02  0.3619E-01 -0.4898E-02
      3212 -0.6459E-02  0.4254E-01 -0.5762E-02
      3213 -0.6704E-02  0.4916E-01 -0.6662E-02
      3214 -0.6898E-02  0.5600E-01 -0.7592E-02
      3215 -0.7051E-02  0.6301E-01 -0.8545E-02
      3216 -0.7162E-02  0.7014E-01 -0.9514E-02
      3217 -0.7240E-02  0.7737E-01 -0.1050E-01
      3218 -0.7288E-02  0.8465E-01 -0.1149E-01
      3219 -0.7315E-02  0.9197E-01 -0.1248E-01
      3220 -0.7326E-02  0.9929E-01 -0.1347E-01
      3221 -0.7329E-02  0.1066E+00 -0.1447E-01
      4001  0.0000E+00  0.0000E+00  0.0000E+00
      4003  0.1782E-02  0.1858E-02 -0.3392E-03
      4005  0.3385E-02  0.6829E-02 -0.1008E-02
      4007  0.4710E-02  0.1455E-01 -0.2039E-02
      4009  0.5773E-02  0.2449E-01 -0.3375E-02
      4011  0.6581E-02  0.3618E-01 -0.4947E-02
      4013  0.7157E-02  0.4916E-01 -0.6696E-02
      4015  0.7528E-02  0.6300E-01 -0.8565E-02
      4017  0.7731E-02  0.7736E-01 -0.1051E-01
      4019  0.7811E-02  0.9197E-01 -0.1248E-01
      4021  0.7826E-02  0.1066E+00 -0.1447E-01
      4101  0.0000E+00  0.0000E+00  0.0000E+00
      4103  0.1123E-03  0.1735E-02 -0.2400E-03
      4105  0.2140E-03  0.6715E-02 -0.9187E-03
      4107  0.2983E-03  0.1445E-01 -0.1967E-02
      4109  0.3658E-03  0.2442E-01 -0.3318E-02
      4111  0.4173E-03  0.3613E-01 -0.4906E-02
      4113  0.4540E-03  0.4912E-01 -0.6668E-02
      4115  0.4777E-03  0.6298E-01 -0.8548E-02
      4117  0.4907E-03  0.7735E-01 -0.1050E-01
      4119  0.4961E-03  0.9196E-01 -0.1248E-01
      4121  0.4972E-03  0.1066E+00 -0.1447E-01
      4201  0.0000E+00  0.0000E+00  0.0000E+00
      4203 -0.1559E-02  0.1826E-02 -0.1092E-03
      4205 -0.2958E-02  0.6802E-02 -0.8016E-03
      4207 -0.4114E-02  0.1452E-01 -0.1872E-02
